term,sessionPeriod,voteDate,voteTime,voteIssue,voteType,url,
10,07,112/05/16,14:54,交通部鐵道局組織法第二條，時代力量黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023051715043910.xlsx,
10,07,112/05/16,16:18,經濟部水利署組織法第五條，時代力量黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023051715043911.xlsx,
10,07,112/05/19,10:22,報告事項第40案，時代力量黨團提議逕付二讀,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202305191348120.xlsx,
10,07,112/06/14,15:01,委員柯建銘等針對本案報告事項，提出重行決定之提議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202306301139440.xlsx,
10,07,112/07/17,15:15,臨時會之特定議案，委員柯建銘等提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202309201426420.xlsx,
10,07,112/07/17,15:16,臨時會之特定議案，委員曾銘宗等提案,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202309201426421.xlsx,
10,07,112/07/26,09:27,討論事項第一案　附帶決議，委員廖婉汝等提議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202309201428150.xlsx,
10,07,112/07/31,10:27,討論事項第三案第十三條，時代力量黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202309201428370.xlsx,
10,07,112/07/31,10:29,討論事項第三案第十三條，台灣民眾黨黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202309201428381.xlsx,
10,07,112/07/31,10:34,討論事項第三案第三十八條之一，時代力量黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202309201428382.xlsx,
10,07,112/07/31,10:35,討論事項第三案第三十八條之一，台灣民眾黨黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202309201428383.xlsx,
10,07,112/07/31,10:58,討論事項第三案，附帶決議　審查會保留第1項,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202309201428394.xlsx,
10,07,112/07/31,11:05,討論事項第三案，附帶決議　時代力量黨團提議(1),記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202309201428395.xlsx,
10,07,112/07/31,11:08,討論事項第三案，附帶決議　時代力量黨團提議(4),記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202309201428396.xlsx,
10,07,112/07/31,11:10,討論事項第三案，附帶決議　時代力量黨團提議(5),記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202309201428397.xlsx,
10,07,112/07/31,11:55,討論事項第四案第七條，時代力量黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202309201428408.xlsx,
10,07,112/07/31,11:56,討論事項第四案第七條，台灣民眾黨黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202309201428409.xlsx,
10,07,112/07/31,12:02,討論事項第四案第十四條，國民黨黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023092014284010.xlsx,
10,07,112/07/31,13:35,討論事項第五案第四條，時代力量黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023092014284111.xlsx,
10,07,112/07/31,13:37,討論事項第五案第四條，台灣民眾黨黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023092014284112.xlsx,
10,07,112/07/31,13:38,討論事項第五案第四條，國民黨黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023092014284113.xlsx,
10,07,112/07/31,13:40,討論事項第五案第四條，民進黨黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023092014284114.xlsx,
10,07,112/07/31,13:43,討論事項第五案增訂第四條之一，時代力量黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023092014284215.xlsx,
10,07,112/07/31,13:45,討論事項第五案第十四條，,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023092014284216.xlsx,
10,07,112/07/31,13:55,討論事項第五案，附帶決議　時代力量黨團提議(1),記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023092014284217.xlsx,
10,07,112/07/31,13:58,討論事項第五案，附帶決議　時代力量黨團提議(3),記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023092014284218.xlsx,
10,07,112/07/31,14:01,討論事項第五案，附帶決議　時代力量黨團提議(5),記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C2023092014284319.xlsx,
10,08,112/10/13,10:27,報告事項第55案，時代力量黨團提議逕付二讀,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202310201342190.xlsx,
10,08,112/11/10,10:24,報告事項第36案，國民黨黨團提議退回,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202311171133210.xlsx,
10,08,112/11/10,10:26,報告事項第36案，時代力量黨團提議逕付二讀,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202311171133231.xlsx,
10,08,112/11/10,10:57,變更議程，民進黨黨團提議(1),記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202311171133232.xlsx,
10,08,112/11/10,11:00,變更議程(抽出動議)，時代力量黨團提議(2),記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202311171133233.xlsx,
10,08,112/11/10,11:02,變更議程(抽出動議)，時代力量黨團提議(3),記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202311171133244.xlsx,
10,08,112/11/10,11:04,變更議程(抽出動議)，時代力量黨團提議(4),記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202311171133245.xlsx,
10,08,112/11/10,11:07,自112年12月20日至12月31日停開院會，及委員會 民進黨黨團提議逕付二讀,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202311171133256.xlsx,
10,08,112/12/12,09:56,討論事項第六案，時代力量黨團修正之提議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202312181349380.xlsx,
10,08,112/12/12,09:58,討論事項第六案，台灣民眾黨黨團修正之提議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202312181349391.xlsx,
10,08,112/12/12,10:27,討論事項第七案第七條，時代力量黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202312181349392.xlsx,
10,08,112/12/12,10:28,討論事項第七案第七條，台灣民眾黨黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202312181349393.xlsx,
10,08,112/12/12,10:30,討論事項第七案第七條，國民黨黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202312181349404.xlsx,
10,08,112/12/12,10:35,討論事項第七案第九條，時代力量黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202312181349405.xlsx,
10,08,112/12/12,10:36,討論事項第七案第九條，台灣民眾黨黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202312181349416.xlsx,
10,08,112/12/12,10:38,討論事項第七案第九條，國民黨黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202312181349417.xlsx,
10,08,112/12/12,10:42,討論事項第七案第十二條，時代力量黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202312181349418.xlsx,
10,08,112/12/12,10:44,討論事項第七案第十二條，台灣民眾黨黨團修正動議,記名,https://ppg.ly.gov.tw/ppg/BillThirdReadingPassesClause/download/resources/ppgb32100/C202312181349429.xlsx,
