term,sessionPeriod,sessionTimes,meetingTimes,sessionType,docUrl,
08,06,13,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/06/13/LCEWC03_080613.doc,
08,06,14,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/06/14/LCEWC03_080614.doc,
08,06,15,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/06/15/LCEWC03_080615.doc,
08,06,16,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/06/16/LCEWC03_080616.doc,
08,06,17,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/06/17/LCEWC03_080617.doc,
08,06,18,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/06/18/LCEWC03_080618.doc,
08,06,19,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/06/19/LCEWC03_080619.doc,
08,07,01,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/07/01/LCEWC03_080701.doc,
08,07,01,null,04,https://ppg.ly.gov.tw/ppg/download/agendarec1/04/word/08/07/01/LCEWC03_080701.doc,
08,07,02,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/07/02/LCEWC03_080702.doc,
08,07,03,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/07/03/LCEWC03_080703.doc,
08,07,04,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/07/04/LCEWC03_080704.doc,
08,07,05,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/07/05/LCEWC03_080705.doc,
08,07,06,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/07/06/LCEWC03_080706.doc,
08,07,07,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/07/07/LCEWC03_080707.doc,
08,07,08,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/07/08/LCEWC03_080708.doc,
08,07,09,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/07/09/LCEWC03_080709.doc,
08,07,10,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/07/10/LCEWC03_080710.doc,
08,07,11,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/07/11/LCEWC03_080711.doc,
08,07,12,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/07/12/LCEWC03_080712.doc,
08,07,13,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/07/13/LCEWC03_080713.doc,
08,07,14,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/07/14/LCEWC03_080714.doc,
08,07,15,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/07/15/LCEWC03_080715.doc,
08,07,16,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/07/16/LCEWC03_080716.doc,
08,08,01,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/08/01/LCEWC03_080801.doc,
08,08,02,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/08/02/LCEWC03_080802.doc,
08,08,03,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/08/03/LCEWC03_080803.doc,
08,08,04,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/08/04/LCEWC03_080804.doc,
08,08,05,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/08/05/LCEWC03_080805.doc,
08,08,06,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/08/06/LCEWC03_080806.doc,
08,08,07,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/08/07/LCEWC03_080807.doc,
08,08,08,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/08/08/LCEWC03_080808.doc,
08,08,09,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/08/09/LCEWC03_080809.doc,
08,08,10,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/08/10/LCEWC03_080810.doc,
08,08,11,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/08/11/LCEWC03_080811.doc,
08,08,12,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/08/12/LCEWC03_080812.doc,
08,08,13,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/08/13/LCEWC03_080813.doc,
08,08,14,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/08/08/14/LCEWC03_080814.doc,
09,01,01,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/01/01/LCEWC03_090101.doc,
09,01,01,01,03,https://ppg.ly.gov.tw/ppg/download/agendarec1/03/word/09/01/01/01/LCEWC03_09010101.doc,
09,01,01,null,04,https://ppg.ly.gov.tw/ppg/download/agendarec1/04/word/09/01/01/LCEWC03_090101.doc,
09,01,02,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/01/02/LCEWC03_090102.doc,
09,01,03,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/01/03/LCEWC03_090103.doc,
09,01,04,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/01/04/LCEWC03_090104.doc,
09,01,05,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/01/05/LCEWC03_090105.doc,
09,01,06,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/01/06/LCEWC03_090106.doc,
09,01,07,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/01/07/LCEWC03_090107.doc,
09,01,08,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/01/08/LCEWC03_090108.doc,
09,01,09,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/01/09/LCEWC03_090109.doc,
09,01,10,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/01/10/LCEWC03_090110.doc,
09,01,11,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/01/11/LCEWC03_090111.doc,
09,01,12,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/01/12/LCEWC03_090112.doc,
09,01,13,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/01/13/LCEWC03_090113.doc,
09,01,14,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/01/14/LCEWC03_090114.doc,
09,01,15,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/01/15/LCEWC03_090115.doc,
09,01,16,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/01/16/LCEWC03_090116.doc,
09,01,17,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/01/17/LCEWC03_090117.doc,
09,01,18,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/01/18/LCEWC03_090118.doc,
09,01,19,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/01/19/LCEWC03_090119.doc,
09,01,20,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/01/20/LCEWC03_090120.doc,
09,01,21,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/01/21/LCEWC03_090121.doc,
09,02,00,null,04,https://ppg.ly.gov.tw/ppg/download/agendarec1/04/word/09/02/00/LCEWC03_090200.doc,
09,02,01,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/02/01/LCEWC03_090201.doc,
09,02,01,01,03,https://ppg.ly.gov.tw/ppg/download/agendarec1/03/word/09/02/01/01/LCEWC03_09020101.doc,
09,02,01,02,03,https://ppg.ly.gov.tw/ppg/download/agendarec1/03/word/09/02/01/02/LCEWC03_09020102.doc,
09,02,01,01,05,https://ppg.ly.gov.tw/ppg/download/agendarec1/05/word/09/02/01/01/LCEWC03_09020101.doc,
09,02,02,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/02/02/LCEWC03_090202.doc,
09,02,03,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/02/03/LCEWC03_090203.doc,
09,02,04,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/02/04/LCEWC03_090204.doc,
09,02,05,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/02/05/LCEWC03_090205.doc,
09,02,06,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/02/06/LCEWC03_090206.doc,
09,02,07,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/02/07/LCEWC03_090207.doc,
09,02,08,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/02/08/LCEWC03_090208.doc,
09,02,09,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/02/09/LCEWC03_090209.doc,
09,02,10,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/02/10/LCEWC03_090210.doc,
09,02,11,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/02/11/LCEWC03_090211.doc,
09,02,12,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/02/12/LCEWC03_090212.doc,
09,02,13,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/02/13/LCEWC03_090213.doc,
09,02,14,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/02/14/LCEWC03_090214.doc,
09,02,15,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/02/15/LCEWC03_090215.doc,
09,02,16,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/02/16/LCEWC03_090216.doc,
09,02,17,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/02/17/LCEWC03_090217.doc,
09,03,01,null,01,https://ppg.ly.gov.tw/ppg/download/agendarec1/01/word/09/03/01/LCEWC03_090301.doc,
09,03,01,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/03/01/LCEWC03_090301.doc,
09,03,01,01,03,https://ppg.ly.gov.tw/ppg/download/agendarec1/03/word/09/03/01/01/LCEWC03_09030101.doc,
09,03,01,02,03,https://ppg.ly.gov.tw/ppg/download/agendarec1/03/word/09/03/01/02/LCEWC03_09030102.doc,
09,03,01,03,03,https://ppg.ly.gov.tw/ppg/download/agendarec1/03/word/09/03/01/03/LCEWC03_09030103.doc,
09,03,01,04,03,https://ppg.ly.gov.tw/ppg/download/agendarec1/03/word/09/03/01/04/LCEWC03_09030104.doc,
09,03,01,null,04,https://ppg.ly.gov.tw/ppg/download/agendarec1/04/word/09/03/01/LCEWC03_090301.doc,
09,03,02,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/03/02/LCEWC03_090302.doc,
09,03,02,01,03,https://ppg.ly.gov.tw/ppg/download/agendarec1/03/word/09/03/02/01/LCEWC03_09030201.doc,
09,03,02,02,03,https://ppg.ly.gov.tw/ppg/download/agendarec1/03/word/09/03/02/02/LCEWC03_09030202.doc,
09,03,02,null,04,https://ppg.ly.gov.tw/ppg/download/agendarec1/04/word/09/03/02/LCEWC03_090302.doc,
09,03,03,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/03/03/LCEWC03_090303.doc,
09,03,03,01,03,https://ppg.ly.gov.tw/ppg/download/agendarec1/03/word/09/03/03/01/LCEWC03_09030301.doc,
09,03,03,02,03,https://ppg.ly.gov.tw/ppg/download/agendarec1/03/word/09/03/03/02/LCEWC03_09030302.doc,
09,03,03,null,04,https://ppg.ly.gov.tw/ppg/download/agendarec1/04/word/09/03/03/LCEWC03_090303.doc,
09,03,04,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/03/04/LCEWC03_090304.doc,
09,03,05,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/03/05/LCEWC03_090305.doc,
09,03,06,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/03/06/LCEWC03_090306.doc,
09,03,07,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/03/07/LCEWC03_090307.doc,
09,03,08,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/03/08/LCEWC03_090308.doc,
09,03,09,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/03/09/LCEWC03_090309.doc,
09,03,10,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/03/10/LCEWC03_090310.doc,
09,03,11,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/03/11/LCEWC03_090311.doc,
09,03,12,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/03/12/LCEWC03_090312.doc,
09,03,13,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/03/13/LCEWC03_090313.doc,
09,03,14,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/03/14/LCEWC03_090314.doc,
09,03,15,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/03/15/LCEWC03_090315.doc,
09,04,01,null,02,https://ppg.ly.gov.tw/ppg/download/agendarec1/02/word/09/04/01/LCEWC03_090401.doc,
