term,sessionPeriod,meetingNo,billNo,billName,docUrl,selectTerm
11,01,2024022107,311110003480000,內政部函，為113年度中央政府總預算決議，檢送消防署及所屬決議（一）「一般行政」預算凍結10萬元書面報告，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00080.pdf,all
11,01,2024022107,311110003490000,內政部函，為113年度中央政府總預算決議，檢送國家公園署及所屬決議（二）「國家公園經營管理」預算凍結50萬元書面報告，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00081.pdf,all
11,01,2024022107,311110003500000,內政部函，為113年度中央政府總預算決議，檢送移民署決議（二）「入出國及移民管理業務」預算凍結10萬元書面報告，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00082.pdf,all
11,01,2024022107,311110003510000,內政部函，為113年度中央政府總預算決議，檢送移民署決議（二十）「入出國及移民管理業務」預算凍結100萬元書面報告，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00083.pdf,all
11,01,2024022107,311110003520000,客家委員會函，為113年度中央政府總預算決議，檢送決議（一）預算凍結100萬元書面報告，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00085.pdf,all
11,01,2024022107,311110003530000,客家委員會函，為113年度中央政府總預算決議，檢送決議（二）預算凍結100萬元書面報告，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00086.pdf,all
11,01,2024022107,311110003540000,客家委員會函，為113年度中央政府總預算決議，檢送決議（三）預算凍結50萬元書面報告，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00087.pdf,all
11,01,2024022107,311110003550000,客家委員會函，為113年度中央政府總預算決議，檢送決議（四）預算凍結50萬元書面報告，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00088.pdf,all
11,01,2024022107,311110003560000,客家委員會函，為113年度中央政府總預算決議，檢送決議（五）預算凍結20萬元書面報告，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00089.pdf,all
11,01,2024022107,311110003570000,客家委員會函，為113年度中央政府總預算決議，檢送決議（二十四）預算凍結100萬元書面報告，請查照案。,https://ppg.ly.gov.tw/ppg/download/agenda1/02/pdf/11/01/02/LCEWA01_110102_00090.pdf,all
